Race Number,Lap Count
001,1
002,1
003,1
004,1
005,1
006,1
007,1
008,1
009,1
010,1
011,1
012,1
013,1
014,1
015,1
016,1
017,1
018,1
019,1
020,1
021,1
022,1
023,1
024,1
025,1
026,1
027,1
028,1
029,1
030,1
031,1
032,1
033,1
034,1
035,1
036,1
037,1
038,1
039,1
040,1
041,1
042,1
043,1
044,1
045,1
046,1
047,1
048,1
049,1
050,1
051,1
052,1
053,1
054,1
055,1
056,1
057,1
058,1
059,1
060,1
061,1
062,1
063,1
064,1
065,1
066,1
067,1
068,1
069,1
070,1
071,1
072,0
073,0
074,1
075,0
076,1
077,0
078,1
079,1
080,0
081,0
082,1
083,1
084,1
085,1
086,1
087,1
088,1
089,1
090,1
091,1
092,1
093,1
094,1
095,1
096,1
097,1
098,1
099,1
100,0





Race Number,Lap Count,Timestamp
006,1,2025-04-11 12:43:49
079,1,2025-04-11 12:52:30
085,1,2025-04-11 12:52:30
053,1,2025-04-11 12:52:30
026,1,2025-04-11 12:52:30
024,1,2025-04-11 12:52:30
015,1,2025-04-11 12:52:31
014,1,2025-04-11 12:52:31
010,1,2025-04-11 12:52:31
009,1,2025-04-11 12:52:31
023,1,2025-04-11 12:52:43
002,1,2025-04-11 12:52:43
022,1,2025-04-11 12:52:43
050,1,2025-04-11 12:52:43
021,1,2025-04-11 12:52:43
049,1,2025-04-11 12:52:43
020,1,2025-04-11 12:52:43
048,1,2025-04-11 12:52:43
019,1,2025-04-11 12:52:43
047,1,2025-04-11 12:52:43
018,1,2025-04-11 12:52:43
046,1,2025-04-11 12:52:43
017,1,2025-04-11 12:52:43
045,1,2025-04-11 12:52:43
016,1,2025-04-11 12:52:43
044,1,2025-04-11 12:52:43
013,1,2025-04-11 12:52:43
043,1,2025-04-11 12:52:43
012,1,2025-04-11 12:52:43
042,1,2025-04-11 12:52:43
011,1,2025-04-11 12:52:43
040,1,2025-04-11 12:52:43
008,1,2025-04-11 12:52:43
041,1,2025-04-11 12:52:43
007,1,2025-04-11 12:52:43
039,1,2025-04-11 12:52:43
094,1,2025-04-11 12:52:44
032,1,2025-04-11 12:52:44
095,1,2025-04-11 12:52:44
034,1,2025-04-11 12:52:44
096,1,2025-04-11 12:52:44
097,1,2025-04-11 12:52:44
036,1,2025-04-11 12:52:44
098,1,2025-04-11 12:52:44
037,1,2025-04-11 12:52:44
099,1,2025-04-11 12:52:44
038,1,2025-04-11 12:52:44
069,1,2025-04-11 12:52:44
052,1,2025-04-11 12:52:44
054,1,2025-04-11 12:52:44
067,1,2025-04-11 12:52:44
055,1,2025-04-11 12:52:44
066,1,2025-04-11 12:52:44
056,1,2025-04-11 12:52:44
003,1,2025-04-11 12:52:44
057,1,2025-04-11 12:52:44
004,1,2025-04-11 12:52:44
058,1,2025-04-11 12:52:44
005,1,2025-04-11 12:52:44
035,1,2025-04-11 12:52:44
051,1,2025-04-11 12:52:44
033,1,2025-04-11 12:52:44
027,1,2025-04-11 12:52:45
028,1,2025-04-11 12:52:45
090,1,2025-04-11 12:52:45
088,1,2025-04-11 12:52:45
030,1,2025-04-11 12:52:45
087,1,2025-04-11 12:52:45
031,1,2025-04-11 12:52:45
091,1,2025-04-11 12:52:45
059,1,2025-04-11 12:52:45
078,1,2025-04-11 12:52:45
060,1,2025-04-11 12:52:45
086,1,2025-04-11 12:52:45
092,1,2025-04-11 12:52:45
063,1,2025-04-11 12:52:45
093,1,2025-04-11 12:52:45
076,1,2025-04-11 12:52:45
084,1,2025-04-11 12:52:45
064,1,2025-04-11 12:52:45
065,1,2025-04-11 12:52:45
029,1,2025-04-11 12:52:45
061,1,2025-04-11 12:52:46
083,1,2025-04-11 12:52:46
001,1,2025-04-11 12:52:46
071,1,2025-04-11 12:52:46
025,1,2025-04-11 12:52:46
062,1,2025-04-11 12:52:46
068,1,2025-04-11 12:52:46
089,1,2025-04-11 12:52:46
070,1,2025-04-11 12:52:46
074,1,2025-04-11 12:52:47
082,1,2025-04-11 12:52:47
